								  t1  t2  t3
more years                        1   0   0   
morning he                        0   0   2   
morning long                      0   1   0   
morning traffic                   0   0   1   
most boring                       0   0   1   
most luxurious                    0   1   0   
most of                           0   1   1   
most people                       1   0   0   
mother of                         0   2   0   
mouthed as                        0   0   1   
moved on                          0   0   1   
much like                         1   0   0   
much of                           1   0   1   
much talk                         1   0   0   
much the                          1   0   0   
much they                         0   0   1   
much to                           1   0   0   
must have                         0   1   1   
mustache dursley                  0   0   1   
my lad                            1   0   0   
mysterious because                0   0   1   
mysterious things                 0   0   1   
name but                          1   0   0   
name was                          0   1   0   
nasty dirty                       0   1   0   
natural and                       1   0   0   
natural leathery                  0   1   0   
natural small                     1   0   0   
nearer the                        1   0   0   
nearly down                       0   1   0   
nearly twice                      0   0   1   
neatly brushed                    0   1   0   
neck although                     0   0   1   
neck which                        0   0   1   
need some                         0   1   0   
neighbors the                     0   0   1   
neighbors would                   0   0   1   
neighbour they                    1   0   0   
neighbourhood including           1   0   0   
neighbourhood of                  0   1   0   
nerve of                          0   0   1   
never arrived                     0   1   0   
never even                        0   0   1   
never had                         0   1   0   
never much                        1   0   0   
never seen                        0   0   1   
new fashion                       0   0   1   
nice a                            1   0   0   
nice gentlehobbit                 1   0   0   
nighttime dursley                 0   0   1   
ninety he                         1   0   0   
ninth floor                       0   0   1   
no beards                         0   1   0   
no close                          1   0   0   
no finer                          0   0   1   
no going                          0   1   0   
no looking                        0   0   1   
no magic                          0   1   0   
no one                            1   0   0   
no shoes                          0   1   0   
no wonder                         1   0   0   
noakes of                         1   0   0   
noise and                         0   1   0   
noise like                        0   1   0   
none of                           0   0   1   
nonsense dursley                  0   0   1   
nor yet                           0   1   0   
normal morning                    0   0   1   
normal thank                      0   0   1   
not a                             0   1   0   
not as                            0   1   0   
not come                          1   0   0   
not enough                        1   0   0   
not entirely                      0   1   0   
not only                          0   1   0   
not quite                         0   1   0   
not that                          0   1   0   
nothing about                     0   0   1   
nothing except                    0   0   1   
nothing in                        0   1   0   
noticed a                         0   0   1   
noticed the                       0   0   1   
noticing that                     0   0   1   
now become                        1   0   0   
now having                        0   0   1   
now it                            1   0   0   
now reading                       0   0   1   
now that                          1   0   0   
now you                           0   1   0   
nowadays since                    0   1   0   
number and                        1   0   0   
number bagshot                    1   0   0   
number four                       0   0   2   
number the                        1   0   0   
numerous and                      0   1   0   
obviously collecting              0   0   1   
oddities and                      1   0   0   
of a                              1   0   1   
of age                            1   0   0   
of all                            0   1   0   
of asking                         0   1   0   
of bag                            1   0   0   
of bilbo                          1   1   0   
of buckland                       1   0   0   
of bywater                        1   0   0   
of conversation                   1   0   0   
of course                         2   1   0   
of drills                         0   0   1   
of especially                     1   0   0   
of her                            0   0   1   
of him                            1   0   1   
of his                            2   1   2   
of hobbiton                       1   0   0   
of how                            0   1   0   
of it                             2   1   1   
of mind                           0   1   0   
of neck                           0   0   1   
of nothing                        0   0   1   
of number                         0   0   2   
of our                            0   1   0   
of pegs                           0   1   0   
of poor                           1   0   0   
of privet                         0   0   1   
of remarkable                     0   1   0   
of something                      0   0   1   
of special                        1   0   0   
of strangely                      0   0   1   
of the                            4   10  2   
of their                          0   1   0   
of them                           0   1   3   
of these                          1   1   1   
of this                           0   1   0   
of tongues                        1   0   0   
of town                           0   0   1   
of tunnels                        1   0   0   
of vegetables                     1   0   0   
of visitors                       0   1   0   
of what                           0   1   0   
of worms                          0   1   0   
off they                          0   1   0   
office on                         0   0   1   
often said                        0   1   0   
old and                           1   0   0   
old folk                          1   0   0   
old forest                        2   0   0   
old ham                           1   0   0   
old holman                        1   0   0   
old noakes                        1   0   0   
old or                            0   1   0   
old took                          1   1   0   
older folk                        1   0   0   
older than                        0   0   1   
on a                              0   0   1   
on and                            0   1   1   
on another                        0   1   0   
on any                            0   1   0   
on baggins                        1   0   0   
on but                            1   0   0   
on by                             1   0   0   
on drills                         0   0   2   
on going                          0   1   0   
on one                            0   1   0   
on or                             0   1   0   
on that                           1   0   0   
on the                            3   3   8   
on their                          0   1   0   
on to                             0   1   0   
on very                           1   0   0   
on visiting                       1   0   0   
on with                           0   1   0   
on young                          0   0   1   
once again                        1   0   0   
once in                           0   1   0   
one day                           1   0   0   
one had                           1   0   0   
one morning                       0   1   0   
one of                            0   2   0   
one side                          0   1   0   
ones to                           0   1   0   
only a                            0   1   0   
only because                      0   1   0   
only heard                        0   1   0   
only ones                         0   1   0   
only reached                      1   0   0   
only son                          0   1   0   
only waited                       0   1   0   
oozy smell                        0   1   0   
opened on                         0   1   0   
opened out                        0   1   0   
opinion there                     0   0   1   
or across                         0   1   0   
or did                            0   1   0   
or mysterious                     0   0   1   
or no                             0   1   0   
or over                           0   1   0   
or signs                          0   0   1   
or so                             0   1   0   
or to                             0   1   0   
or were                           0   1   0   
order of                          0   0   1   
ordinary everyday                 0   1   0   
other darker                      1   0   0   
other families                    0   1   0   
our comfortably                   1   0   0   
our height                        0   1   0   
our particular                    0   1   0   
our story                         0   0   1   
out about                         0   0   1   
out his                           0   0   1   
out of                            0   2   3   
out the                           0   1   0   
outside to                        0   0   1   
over garden                       0   0   1   
over his                          0   1   0   
over the                          1   1   1   
overhead most                     0   0   1   
owl after                         0   0   1   
owl even                          0   0   1   
owl flutter                       0   0   1   
owl sped                          0   0   1   
owls swoop                        0   0   1   
paid for                          1   0   0   
painted green                     0   1   0   
panelled walls                    0   1   0   
pantries lots                     0   1   0   
parking lot                       0   0   1   
particular what                   0   1   0   
partly with                       0   1   0   
party in                          0   1   0   
party of                          1   0   0   
passage the                       0   1   0   
passed each                       1   0   0   
passion for                       1   0   0   
past eight                        0   0   1   
past in                           0   0   1   
past the                          0   0   1   
pecked dursley                    0   0   1   
peculiar a                        0   0   1   
peculiar and                      1   0   0   
pegs for                          0   1   0   
people about                      0   1   1   
people as                         0   1   0   
people considered                 0   1   0   
people down                       0   0   1   
people for                        0   1   0   
people he                         0   0   2   
people in                         0   0   1   
people were                       1   0   1   
people who                        0   0   1   
people you                        0   0   1   
perfect truth                     1   0   0   
perfectly normal                  0   0   2   
perfectly round                   0   1   0   
perpetual youth                   1   0   0   
picked out                        0   0   1   
picked up                         0   0   1   
pipe that                         0   1   0   
place if                          1   0   0   
planned for                       1   0   0   
pointed and                       0   0   1   
polished chairs                   0   1   0   
polite to                         1   0   0   
poor and                          1   0   0   
popularly believed                1   0   0   
porthole painted                  0   1   0   
possess apparently                1   0   0   
possible to                       0   0   1   
potatoes the                      1   0   0   
potter was                        0   0   1   
potters arrived                   0   0   1   
potters away                      0   0   1   
potters had                       0   0   1   
potters potter                    0   0   1   
prepared for                      0   1   0   
pretended she                     0   0   1   
privet drive                      0   0   3   
probable that                     0   1   0   
probably some                     0   0   1   
prolonged vigour                  1   0   0   
prosperous and                    0   1   0   
proud to                          0   0   1   
provided with                     0   1   0   
put in                            1   0   0   
put the                           0   0   1   
quarter of                        0   1   0   
queer breed                       1   0   0   
queer in                          0   1   0   
queer put                         1   0   0   
question without                  0   1   0   
quickly when                      0   1   0   
quiet of                          0   1   0   
quietly and                       0   1   0   
quite close                       0   0   1   
quite exceptional                 1   0   0   
quite straight                    0   1   0   
ran at                            0   1   0   
rare and                          0   1   0   
rather curious                    1   0   0   
reached and                       1   0   0   
reached nearly                    0   1   0   
read maps                         0   0   1   
reading a                         0   0   1   
reading the                       0   0   1   
ready to                          1   0   0   
realize what                      0   0   1   
reason for                        0   0   1   
recognized as                     1   0   0   
relatives except                  1   0   0   
remained on                       1   0   0   
remained that                     0   1   0   
remained to                       0   1   0   
remarkable daughters              0   1   0   
remarkable disappearance          1   0   0   
remarkable tale                   0   1   0   
reminiscences in                  1   0   0   
reputedly inexhaustible           1   0   0   
respect but                       0   1   0   
respectable age                   1   0   0   
respectable as                    0   1   0   
respectable hobbit                1   0   0   
respectable not                   0   1   0   
return the                        1   0   0   
rich and                          1   0   0   
rich but                          0   1   0   
richer not                        0   1   0   
riches he                         1   0   0   
right agin                        1   0   0   
right dad                         1   0   0   
river and                         2   0   0   
river that                        0   1   0   
river this                        0   1   0   
road and                          1   0   0   
road he                           0   0   1   
road to                           0   0   1   
rooms devoted                     0   1   0   
rooms were                        0   1   0   
round called                      0   1   0   
round door                        0   1   0   
round doors                       0   1   0   
round windows                     0   1   0   
row just                          1   0   0   
rumour of                         1   0   0   
rumours before                    1   0   0   
sackvillebagginses were           1   0   0   
said bilbo                        1   0   0   
said in                           0   1   0   
said natural                      1   0   0   
said privet                       0   0   1   
said several                      1   0   0   
said the                          2   0   0   
sam gamgee                        1   0   0   
same as                           1   0   0   
same birthday                     1   0   0   
same floor                        0   1   0   
same job                          1   0   0   
same passage                      0   1   0   
sandy hole                        0   1   0   
sat in                            0   0   1   
sat with                          0   0   1   
saw on                            0   0   1   
say but                           1   0   0   
say if                            0   0   1   
say it                            1   0   0   
say on                            0   1   0   
say that                          1   0   1   
saying the                        0   1   0   
saying things                     0   1   0   
screaming dudley                  0   0   1   
second dursley                    0   0   1   
second edition                    0   1   0   
secret and                        0   0   1   
see that                          0   0   1   
see the                           0   0   1   
see whether                       0   1   0   
seemed to                         1   0   1   
seemed unfair                     1   0   0   
seemingly they                    1   0   0   
seen an                           0   0   1   
seen him                          0   0   1   
seen then                         0   0   1   
september had                     1   0   0   
settled down                      0   1   0   
several important                 0   0   1   
several voices                    1   0   0   
several years                     0   0   1   
shake and                         0   0   1   
she became                        0   1   0   
she did                           0   0   1   
she spent                         0   0   1   
she wrestled                      0   0   1   
shiny yellow                      0   1   0   
shire for                         1   0   0   
shire the                         1   0   0   
shoes because                     0   1   0   
shook their                       1   0   0   
shortly be                        1   0   0   
should go                         1   0   0   
should possess                    1   0   0   
shouted a                         0   0   1   
shuddered to                      0   0   1   
shy of                            0   1   0   
side and                          0   1   0   
side going                        0   1   0   
side of                           1   1   0   
side something                    0   1   0   
sight what                        0   0   1   
sign cats                         0   0   1   
sign of                           0   0   1   
sign that                         0   0   1   
signs dursley                     0   0   1   
silly stunt                       0   0   1   
since his                         1   0   0   
since they                        0   1   0   
sister and                        0   0   1   
sister because                    0   0   1   
sister but                        0   0   1   
sit down                          0   1   0   
sixty years                       1   0   0   
sky outside                       0   0   1   
sloping down                      0   1   0   
small inn                         1   0   0   
small river                       0   1   0   
small son                         0   0   2   
small wonder                      1   0   0   
smaller than                      0   1   0   
smell nor                         0   1   0   
smoke with                        0   1   0   
smoking an                        0   1   0   
so and                            0   1   0   
so far                            1   0   0   
so much                           0   0   1   
so no                             1   0   0   
soles and                         0   1   0   
solid and                         0   1   0   
some authority                    1   0   0   
some curious                      0   1   0   
some description                  0   1   0   
some of                           1   0   0   
some silly                        0   0   1   
some stupid                       0   0   1   
some that                         1   0   0   
somebody would                    0   0   1   
something a                       0   1   0   
something else                    0   0   1   
something not                     0   1   0   
something peculiar                0   0   1   
something quite                   1   0   0   
something that                    0   1   0   
something yes                     0   0   1   
son although                      0   1   0   
son called                        0   0   1   
son sam                           1   0   0   
son too                           0   0   1   
son were                          1   0   0   
soon be                           0   0   1   
sort of                           0   1   0   
sort which                        0   1   0   
special magnificence              1   0   0   
sped overhead                     0   0   1   
spent so                          0   0   1   
spoke with                        1   0   0   
spying on                         0   0   1   
standing at                       0   1   0   
standing on                       0   0   1   
standing quite                    0   0   1   
stared at                         0   0   1   
stared back                       0   0   1   
starts there                      0   0   1   
steering wheel                    0   0   1   
stiff in                          1   0   0   
still in                          1   0   0   
still it                          0   1   0   
still numerous                    0   1   0   
still something                   0   1   0   
stomach they                      0   1   0   
story of                          0   1   0   
story starts                      0   0   1   
straight into                     0   1   0   
strange and                       0   0   1   
strange or                        0   0   1   
strangely dressed                 0   0   1   
street did                        0   0   1   
street that                       0   0   1   
street the                        0   0   1   
stretch his                       0   0   1   
struck dursley                    0   0   1   
stuff on                          0   1   0   
stuffed with                      1   0   0   
stunt these                       0   0   1   
stupid folk                       0   1   0   
stupid new                        0   0   1   
such nonsense                     0   0   1   
suddenly found                    1   0   0   
suggest that                      0   0   1   
suppose hobbits                   0   1   0   
supposed this                     0   0   1   
swoop ing                         0   0   1   
tabby cat                         0   0   1   
taken a                           0   1   0   
tales be                          1   0   0   
talk and                          1   0   0   
tantrum and                       0   0   1   
tawny owl                         0   0   1   
telephone calls                   0   0   1   
tell of                           1   0   0   
tell what                         0   1   0   
tended the                        1   0   0   
terms with                        2   0   0   
than half                         1   0   0   
than he                           0   0   1   
than looks                        1   0   0   
than old                          1   0   0   
than the                          0   1   0   
thank you                         0   0   1   
that a                            0   0   1   
that anyone                       1   0   0   
that as                           1   0   0   
that autumn                       1   0   0   
that belladonna                   0   1   0   
that big                          1   0   0   
that bilbo                        0   1   0   
that day                          0   0   1   
that he                           2   0   1   
that lives                        1   0   0   
that long                         0   1   0   
that man                          0   0   1   
that means                        0   1   0   
that morning                      0   0   1   
that natural                      1   0   0   
that now                          1   0   0   
that only                         0   1   0   
that ran                          0   1   0   
that reached                      0   1   0   
that said                         0   0   1   
that shook                        1   0   0   
that somebody                     0   0   1   
that something                    1   0   0   
that strange                      0   0   1   
that the                          2   1   1   
that there                        0   0   1   
that they                         0   0   1   
that this                         0   0   1   
that time                         1   0   0   
that trouble                      1   0   0   
that was                          1   4   0   
that when                         0   0   1   
that would                        0   0   1   
the and                           1   0   0   
the bagginses                     1   2   0   
the bakery                        0   0   1   
the bearded                       0   1   0   
the beautiful                     0   1   0   
the best                          0   1   0   
the big                           0   1   0   
the bother                        0   1   0   
the brandybucks                   1   0   0   
the brandywine                    1   0   0   
the bywater                       1   0   0   
the cat                           0   0   3   
the chance                        0   1   0   
the cheek                         0   0   1   
the chief                         1   0   0   
the cloudy                        0   0   1   
the coming                        1   0   0   
the corner                        0   0   3   
the country                       0   0   1   
the date                          1   0   0   
the director                      0   0   1   
the door                          0   1   0   
the dull                          0   0   1   
the dursleys                      0   0   4   
the edge                          0   0   1   
the eldest                        1   0   0   
the end                           0   2   0   
the ends                          0   1   0   
the exact                         0   1   0   
the fact                          0   1   0   
the family                        0   1   0   
the famous                        0   1   0   
the first                         0   0   1   
the foot                          0   1   0   
the gaffer                        4   0   0   
the garden                        1   0   0   
the getups                        0   0   1   
the ground                        0   1   0   
the growing                       1   0   0   
the grunnings                     0   0   1   
the hill                          2   5   0   
the history                       1   0   0   
the hobbit                        0   2   0   
the hobbits                       2   2   0   
the hopes                         1   0   0   
the house                         0   0   1   
the irresponsible                 1   0   0   
the ivy                           1   0   0   
the job                           1   0   0   
the joints                        1   0   0   
the last                          0   0   1   
the leading                       1   0   0   
the light                         0   0   1   
the mark                          1   0   0   
the matter                        1   0   0   
the most                          0   1   0   
the mother                        0   2   0   
the neighbors                     0   0   2   
the neighbour                     1   0   0   
the neighbourhood                 1   1   0   
the nerve                         0   0   1   
the ninth                         0   0   1   
the old                           4   1   0   
the older                         1   0   0   
the only                          0   1   0   
the ordinary                      0   1   0   
the owls                          0   0   1   
the people                        0   1   0   
the potters                       0   0   4   
the quiet                         0   1   0   
the respect                       0   1   0   
the riches                        1   0   0   
the river                         0   1   0   
the road                          0   0   2   
the sackvillebagginses            1   0   0   
the same                          3   2   0   
the shire                         2   0   0   
the side                          0   2   0   
the sign                          0   0   2   
the small                         0   1   0   
the steering                      0   0   1   
the stomach                       0   1   0   
the street                        0   0   3   
the stuff                         0   1   0   
the tales                         1   0   0   
the the                           0   1   0   
the three                         0   1   0   
the took                          0   2   0   
the tooks                         0   1   0   
the traffic                       0   0   1   
the tunnel                        0   1   0   
the usual                         0   0   2   
the walls                         0   0   1   
the water                         0   2   0   
the window                        0   0   2   
the wonder                        1   0   0   
the world                         0   1   0   
the would                         0   1   0   
the wrong                         1   0   0   
their days                        0   1   0   
their feet                        0   1   0   
their greatest                    0   0   1   
their heads                       1   1   0   
their opinion                     0   0   1   
their reminiscences               1   0   0   
them and                          0   1   0   
them except                       0   1   0   
them had                          0   0   1   
them noticed                      0   0   1   
them to                           0   1   0   
them very                         0   1   0   
them were                         0   1   1   
then he                           0   0   1   
then it                           0   0   1   
then on                           0   1   0   
then we                           1   0   0   
there in                          1   0   0   
there is                          0   2   0   
there lived                       0   1   0   
there seemed                      0   0   1   
there they                        0   1   0   
there was                         3   2   4   
there were                        1   0   0   
these and                         1   0   0   
these people                      0   0   1   
these wardrobes                   0   1   0   
these weirdos                     0   0   1   
these were                        0   1   0   
they also                         0   0   1   
they are                          0   2   0   
they began                        1   0   0   
they call                         0   1   0   
they can                          0   2   0   
they could                        0   0   1   
they did                          0   0   1   
they discreetly                   0   1   0   
they dress                        0   1   0   
they fool                         1   0   0   
they had                          1   0   2   
they have                         0   2   0   
they just                         0   0   1   
they live                         1   0   0   
they lived                        1   0   0   
they never                        0   1   0   
they pointed                      0   0   1   
they remained                     0   1   0   
they said                         1   0   0   
they say                          1   0   0   
they think                        0   0   1   
they wanted                       0   0   1   
they were                         1   1   3   
thick warm                        0   1   0   
thin and                          0   0   1   
thing it                          1   0   0   
things altogether                 0   1   0   
things would                      0   0   1   
think they                        0   0   1   
think what                        0   0   1   
thinking of                       0   0   1   
this and                          1   0   0   
this boy                          0   0   1   
this frodo                        1   0   0   
this hobbit                       0   1   0   
this is                           0   1   0   
this of                           0   1   0   
this was                          1   0   2   
though people                     0   0   1   
though they                       0   1   0   
thought he                        0   0   1   
thought of                        0   0   1   
thought this                      1   0   0   
three remarkable                  0   1   0   
throwing his                      0   0   1   
tie for                           0   0   1   
tiled and                         0   1   0   
till he                           1   0   0   
time craning                      0   0   1   
time frodo                        1   0   0   
time out                          0   1   0   
time wore                         1   0   0   
to a                              0   1   0   
to be                             3   2   4   
to buy                            0   0   1   
to call                           1   0   0   
to clothes                        0   1   0   
to come                           0   1   0   
to concentrate                    0   0   1   
to disappear                      0   1   0   
to eat                            0   1   0   
to forgive                        1   0   0   
to get                            0   0   1   
to go                             0   1   0   
to grow                           1   0   0   
to have                           2   1   0   
to hear                           1   1   0   
to him                            1   0   0   
to his                            0   1   0   
to kiss                           0   0   1   
to live                           1   0   0   
to look                           0   0   1   
to marvel                         1   0   0   
to meet                           1   0   0   
to say                            0   0   1   
to see                            0   0   1   
to sit                            0   1   0   
to suggest                        0   0   1   
to tell                           1   0   0   
to the                            0   2   1   
to think                          0   0   1   
to wag                            1   0   0   
toes neatly                       0   1   0   
together dursley                  0   0   1   
tongues began                     1   0   0   
too but                           0   0   1   
too much                          1   0   0   
took ancestors                    0   1   0   
took ever                         0   1   0   
took head                         0   1   0   
took himself                      1   0   0   
took one                          0   1   0   
took side                         0   1   0   
tooks were                        0   1   0   
topic of                          1   0   0   
toward town                       0   0   1   
town drills                       0   0   1   
town he                           0   0   1   
traffic jam                       0   0   1   
traffic moved                     0   0   1   
travelled all                     1   0   0   
travels had                       1   0   0   
treasure and                      1   0   0   
trick of                          0   0   1   
tried to                          0   0   1   
trouble came                      1   0   0   
trouble had                       1   0   0   
trouble will                      1   0   0   
truth for                         1   0   0   
tuesday our                       0   0   1   
tunnel a                          0   1   0   
tunnel without                    0   1   0   
tunnel wound                      0   1   0   
tunnels stuffed                   1   0   0   
tweens as                         1   0   0   
twelve more                       1   0   0   
twenties between                  1   0   0   
twice a                           0   1   0   
twice the                         0   0   1   
twofoot the                       1   0   0   
tyke chortled                     0   0   1   
unchanged would                   1   0   0   
under the                         0   1   0   
understood that                   1   0   0   
undoubtedly richer                0   1   0   
undursleyish as                   0   0   1   
unexpected he                     0   1   0   
unexpected party                  0   1   0   
unexpected return                 1   0   0   
unexpected you                    0   1   0   
unfair that                       1   0   0   
unimportant families              1   0   0   
until bilbo                       0   1   0   
until he                          0   1   0   
until lunchtime                   0   0   1   
until some                        1   0   0   
up being                          0   1   0   
up but                            0   1   0   
up his                            0   0   1   
up on                             0   0   1   
up the                            1   0   1   
upon the                          1   0   0   
upstairs for                      0   1   0   
us they                           0   1   0   
useful as                         0   0   1   
usual amount                      0   0   1   
usual morning                     0   0   1   
vegetables in                     1   0   0   
very comfortable                  0   1   0   
very friendly                     1   0   0   
very good                         0   0   1   
very hobbit                       0   1   0   
very large                        0   0   1   
very little                       0   1   0   
very lively                       1   0   0   
very much                         1   0   1   
very nice                         1   0   0   
very peculiar                     1   0   0   
very polite                       1   0   0   
very respectable                  1   1   0   
very rich                         1   0   0   
very useful                       0   0   1   
vigour to                         1   0   0   
visiting terms                    1   0   0   
visitors the                      0   1   0   
voices they                       1   0   0   
wag in                            1   0   0   
waited for                        0   1   0   
walk across                       0   0   1   
walls and                         0   1   0   
walls little                      0   0   1   
want dudley                       0   0   1   
wanted but                        0   0   1   
wardrobes he                      0   1   0   
warm brown                        0   1   0   
was a                             1   2   3   
was also                          1   0   0   
was and                           0   0   1   
was another                       0   0   1   
was baggins                       0   1   0   
was being                         1   0   0   
was drogo                         1   0   0   
was dursley                       0   0   1   
was enraged                       0   0   1   
was father                        0   1   0   
was fond                          0   1   0   
was full                          1   0   0   
was generous                      1   0   0   
was going                         2   0   0   
was grown                         0   1   0   
was he                            1   0   0   
was himself                       1   0   0   
was hoping                        0   0   1   
was in                            0   0   1   
was less                          0   1   0   
was mainly                        1   0   0   
was much                          2   0   0   
was never                         1   0   0   
was no                            0   0   1   
was not                           1   0   0   
was nothing                       0   0   1   
was now                           0   0   2   
was of                            0   1   0   
was often                         0   1   0   
was on                            0   0   1   
was popularly                     1   0   0   
was possible                      0   0   1   
was probably                      0   0   1   
was recognized                    1   0   0   
was said                          1   0   0   
was saying                        0   1   0   
was some                          0   0   1   
was standing                      0   1   0   
was still                         1   1   0   
was that                          0   0   1   
was the                           0   1   1   
was thin                          0   0   1   
was to                            0   1   0   
was too                           1   0   0   
was understood                    1   0   0   
was very                          2   0   0   
was young                         1   0   0   
watched the                       0   0   1   
water and                         0   1   0   
water the                         0   1   0   
we can                            1   0   0   
wealth will                       1   0   0   
wear no                           0   1   0   
wearing an                        0   0   1   
weirdos standing                  0   0   1   
welcome demand                    1   0   0   
well as                           1   0   0   
well you                          0   1   0   
were a                            0   1   0   
were all                          0   1   0   
were as                           0   0   1   
were driven                       0   0   1   
were finally                      1   0   0   
were not                          0   1   0   
were obviously                    0   0   1   
were on                           1   1   0   
were perfectly                    0   0   1   
were proud                        0   0   1   
were ready                        1   0   0   
were rich                         0   1   0   
were some                         1   0   0   
were still                        0   1   0   
were the                          0   1   1   
were undoubtedly                  0   1   0   
were whispering                   0   0   1   
were willing                      1   0   0   
were young                        0   0   1   
wet hole                          0   1   0   
what a                            0   1   0   
what about                        1   0   0   
what could                        0   0   1   
what he                           0   0   1   
what i                            0   1   0   
what is                           0   1   0   
what the                          0   0   1   
whatever the                      1   0   0   
wheel and                         0   0   1   
when and                          0   0   1   
when bilbo                        2   0   0   
when he                           0   0   1   
when large                        0   1   0   
when there                        0   1   0   
when they                         0   1   0   
where folks                       1   0   0   
whether he                        0   1   0   
which came                        0   0   1   
which helps                       0   1   0   
which i                           0   1   0   
which is                          0   1   0   
which made                        0   0   1   
which they                        0   2   0   
while members                     0   1   0   
whispering excitedly              0   0   1   
who dressed                       0   0   1   
who lived                         0   1   0   
whole rooms                       0   1   0   
why any                           1   0   0   
why that                          0   0   1   
wife away                         1   0   0   
wife that                         0   1   0   
will come                         1   0   0   
will have                         1   0   0   
will see                          0   1   0   
willing to                        1   0   0   
window at                         0   0   1   
window in                         0   0   1   
windows looking                   0   1   0   
windows round                     0   1   0   
wish to                           1   0   0   
with a                            1   1   1   
with as                           0   1   0   
with bilbo                        1   0   0   
with boats                        1   0   0   
with hardly                       0   0   1   
with her                          0   1   0   
with him                          1   0   0   
with his                          2   0   1   
with nothing                      0   1   0   
with panelled                     0   1   0   
with perfect                      1   0   0   
with polished                     0   1   0   
with some                         1   0   0   
with such                         0   0   1   
with the                          0   1   0   
with treasure                     1   0   0   
without smoke                     0   1   0   
without the                       0   1   0   
woke up                           0   0   1   
wonder of                         1   0   0   
wonder queer                      1   0   0   
wonder that                       1   0   0   
wooden pipe                       0   1   0   
woolly toes                       0   1   0   
wore on                           1   0   0   
work and                          0   0   1   
world when                        0   1   0   
worms and                         0   1   0   
would be                          0   1   1   
would discover                    0   0   1   
would go                          0   1   0   
would have                        1   0   0   
would say                         0   1   1   
would shortly                     1   0   0   
would soon                        0   0   1   
wound on                          0   1   0   
wrestled a                        0   0   1   
wrong side                        1   0   0   
year the                          1   0   0   
years and                         1   0   0   
years ever                        1   0   0   
years in                          0   0   1   
years old                         0   1   0   
years passed                      1   0   0   
yelled at                         0   0   1   
yellow brass                      0   1   0   
yellow wear                       0   1   0   
yes that                          0   0   1   
yet a                             0   1   0   
you and                           0   1   0   
you could                         1   1   0   
you expect                        0   0   1   
you had                           0   1   0   
you know                          0   1   0   
you saw                           0   0   1   
you until                         0   1   0   
you very                          0   0   1   
you will                          0   1   0   
you would                         0   1   0   
young at                          0   0   1   
young frodo                       1   0   0   
young hobbit                      1   0   0   
young people                      0   0   1   
younger cousins                   1   0   0   
youngest son                      1   0   0   
youth as                          1   0   0   
