						  t1  t2  t3
in daddy twofoot          1   0   0   
in fact apparently        0   1   0   
in fact dursley           0   0   1   
in for these              0   1   0   
in funny clothes          0   0   1   
in his from               0   1   0   
in his mirror             0   0   1   
in his office             0   0   1   
in his tweens             1   0   0   
in hobbiton and           1   0   0   
in hobbiton bilbo         1   0   0   
in it to                  0   1   0   
in more than              1   0   0   
in number bagshot         1   0   0   
in other families         0   1   0   
in sight what             0   0   1   
in the beautiful          0   1   0   
in the end                0   1   0   
in the exact              0   1   0   
in the ground             0   1   0   
in the grunnings          0   0   1   
in the joints             1   0   0   
in the matter             1   0   0   
in the neighbourhood      1   1   0   
in the old                1   0   0   
in the quiet              0   1   0   
in the same               1   0   0   
in the stomach            0   1   0   
in the street             0   0   2   
in the usual              0   0   1   
in their opinion          0   0   1   
in very useful            0   0   1   
in welcome demand         1   0   0   
inclined to be            0   1   0   
including himself what    1   0   0   
indeed on the             0   1   0   
inexhaustible wealth will 1   0   0   
ing past in               0   0   1   
inn on the                1   0   0   
into his car              0   0   1   
into his high             0   0   1   
into the side             0   1   0   
involved in anything      0   0   1   
irresponsible twenties between1   0   0   
is a hobbit               0   1   0   
is a story                0   1   0   
is as nice                1   0   0   
is bilbo as               1   0   0   
is curly have             0   1   0   
is his name               1   0   0   
is little or              0   1   0   
is probable that          0   1   0   
is to hear                0   1   0   
it beats me               1   0   0   
it but so                 1   0   0   
it first on               0   1   0   
it had a                  0   1   0   
it harder to              0   0   1   
it i say                  1   0   0   
it if anyone              0   0   1   
it is probable            0   1   0   
it may frodo              1   0   0   
it must have              0   0   1   
it now you                0   1   0   
it seemed to              1   0   0   
it seemed unfair          1   0   0   
it stared back            0   0   1   
it struck dursley         0   0   1   
it the traffic            0   0   1   
it they think             0   0   1   
it to sit                 0   1   0   
it up but                 0   1   0   
it was a                  0   1   0   
it was now                0   0   1   
it was often              0   1   0   
it was on                 0   0   1   
it was popularly          1   0   0   
it was possible           0   0   1   
it was understood         1   0   0   
itself in number          1   0   0   
ivy bush a                1   0   0   
jam he could              0   0   1   
jerked his head           0   0   1   
job before that           1   0   0   
job was mainly            1   0   0   
joints the job            1   0   0   
just below bag            1   0   0   
just described for        0   1   0   
just did hold             0   0   1   
keeping the potters       0   0   1   
kiss dudley but           0   0   1   
kitchens all were         0   1   0   
knew that the             0   0   1   
knob in the               0   1   0   
know enough to            0   1   0   
known as the              1   0   0   
lad said bilbo            1   0   0   
large mustache dursley    0   0   1   
large order of            0   0   1   
large stupid folk         0   1   0   
large tawny owl           0   0   1   
last people you           0   0   1   
later dursley arrived     0   0   1   
laugh deep fruity         0   1   0   
laughs especially after   0   1   0   
leading authority by      1   0   0   
leathery soles and        0   1   0   
left the house            0   0   1   
legend and it             1   0   0   
legs and walk             0   0   1   
less noise and            0   1   0   
light dursley blinked     0   0   1   
like a porthole           0   1   0   
like a second             0   1   0   
like a tunnel             0   1   0   
like bilbo and            1   0   0   
like elephants which      0   1   0   
like that when            0   0   1   
like the stuff            0   1   0   
like you and              0   1   0   
little effect on          1   0   0   
little of all             0   1   0   
little or no              0   1   0   
little people about       0   1   0   
little round doors        0   1   0   
little shake and          0   0   1   
little tyke chortled      0   0   1   
live at bag               1   0   0   
live here frodo           1   0   0   
live in the               1   0   0   
live on the               1   0   0   
lived a hobbit            0   1   0   
lived across the          0   1   0   
lived in the              0   1   0   
lived on the              1   0   0   
lively combined at        1   0   0   
lives with him            1   0   0   
living in the             0   1   0   
local legend and          1   0   0   
long ago in               0   1   0   
long ago one              0   1   0   
long clever brown         0   1   0   
long wooden pipe          0   1   0   
look again there          0   0   1   
looked and behaved        0   1   0   
looking at the            0   0   1   
looking for a             1   0   0   
looking over his          0   1   0   
looks after all           1   0   0   
lost the respect          0   1   0   
lot his mind              0   0   1   
lot of strangely          0   0   1   
lots and lots             0   1   0   
lots of pegs              0   1   0   
lots of these             0   1   0   
lunchtime when he         0   0   1   
luxurious for her         0   1   0   
made drills he            0   0   1   
made several important    0   0   1   
magic about them          0   1   0   
magnificence there was    1   0   0   
mainly carried on         1   0   0   
making a noise            0   1   0   
man had to                0   0   1   
man with hardly           0   0   1   
many devoted admirers     1   0   0   
many little round         0   1   0   
many miles round          0   1   0   
map for a                 0   0   1   
map in sight              0   0   1   
maps or signs             0   0   1   
mark there were           1   0   0   
marvel at time            1   0   0   
matter of especially      1   0   0   
may frodo is              1   0   0   
may have lost             0   1   0   
me come blundering        0   1   0   
me why any                1   0   0   
meadows beyond sloping    0   1   0   
means comfort it          0   1   0   
meet very much            1   0   0   
members of the            0   1   0   
met for several           0   0   1   
middle the door           0   1   0   
might have found          0   0   1   
might say that            1   0   0   
mile off they             0   1   0   
miles round called        0   1   0   
mind and people           0   1   0   
mind as he                0   0   1   
mind back on              0   0   1   
mind by something         0   0   1   
minutes later dursley     0   0   1   
mirror it was             0   0   1   
missed because dudley     0   0   1   
mixing with a             0   0   1   
money most people         1   0   0   
money that was            0   1   0   
mood until lunchtime      0   0   1   
more attentive audience   1   0   0   
more green and            0   1   0   
more he was               0   0   1   
more than half            1   0   0   
more than looks           1   0   0   
more years passed         1   0   0   
morning he did            0   0   1   
morning he yelled         0   0   1   
morning long ago          0   1   0   
morning traffic jam       0   0   1   
most boring tie           0   0   1   
most luxurious for        0   1   0   
most of them              0   1   1   
most people were          1   0   0   
mother of our             0   1   0   
mother of this            0   1   0   
mouthed as owl            0   0   1   
moved on and              0   0   1   
much like bilbo           1   0   0   
much of a                 1   0   0   
much of her               0   0   1   
much talk and             1   0   0   
much the same             1   0   0   
much they were            0   0   1   
much to tell              1   0   0   
must have been            0   0   1   
must have taken           0   1   0   
mustache dursley was      0   0   1   
my lad said               1   0   0   
mysterious because they   0   0   1   
mysterious things would   0   0   1   
name but more             1   0   0   
name was baggins          0   1   0   
nasty dirty wet           0   1   0   
natural and trouble       1   0   0   
natural leathery soles    0   1   0   
natural small wonder      1   0   0   
nearer the mark           1   0   0   
nearly down to            0   1   0   
nearly twice the          0   0   1   
neatly brushed gandalf    0   1   0   
neck although he          0   0   1   
neck which came           0   0   1   
need some description     0   1   0   
neighbors the dursleys    0   0   1   
neighbors would say       0   0   1   
neighbour they live       1   0   0   
neighbourhood including himself1   0   0   
neighbourhood of the      0   1   0   
nerve of him              0   0   1   
never arrived until       0   1   0   
never even seen           0   0   1   
never had any             0   1   0   
never much to             1   0   0   
never seen an             0   0   1   
new fashion he            0   0   1   
nice a young              1   0   0   
nice gentlehobbit is      1   0   0   
nighttime dursley however 0   0   1   
ninety he was             1   0   0   
ninth floor if            0   0   1   
no beards there           0   1   0   
no close friends          1   0   0   
no finer boy              0   0   1   
no going upstairs         0   1   0   
no looking at             0   0   1   
no magic about            0   1   0   
no one had                1   0   0   
no shoes because          0   1   0   
no wonder queer           1   0   0   
noakes of bywater         1   0   0   
noise and more            0   1   0   
noise like elephants      0   1   0   
none of them              0   0   1   
nonsense dursley was      0   0   1   
nor yet a                 0   1   0   
normal morning he         0   0   1   
normal thank you          0   0   1   
not a nasty               0   1   0   
not as respectable        0   1   0   
not come and              1   0   0   
not enough for            1   0   0   
not entirely hobbitlike   0   1   0   
not only because          0   1   0   
not quite straight        0   1   0   
not that belladonna       0   1   0   
nothing about the         0   0   1   
nothing except a          0   0   1   
nothing in it             0   1   0   
noticed a large           0   0   1   
noticed the first         0   0   1   
noticing that there       0   0   1   
now become a              1   0   0   
now having a              0   0   1   
now it was                1   0   0   
now reading the           0   0   1   
now that he               1   0   0   
now you know              0   1   0   
nowadays since they       0   1   0   
number and a              1   0   0   
number bagshot row        1   0   0   
number four drive         0   0   1   
number four privet        0   0   1   
number the date           1   0   0   
numerous and prosperous   0   1   0   
obviously collecting for  0   0   1   
oddities and his          1   0   0   
of a firm                 0   0   1   
of a good                 1   0   0   
of age at                 1   0   0   
of all there              0   1   0   
of asking him             0   1   0   
of bag end                1   0   0   
of bilbo baggins          1   1   0   
of buckland live          1   0   0   
of bywater is             1   0   0   
of conversation and       1   0   0   
of course absurd          0   1   0   
of course but             1   0   0   
of course the             1   0   0   
of drills he              0   0   1   
of especially potatoes    1   0   0   
of her time               0   0   1   
of him but                0   0   1   
of him till               1   0   0   
of his mind               0   0   2   
of his of                 1   0   0   
of his solid              0   1   0   
of his younger            1   0   0   
of hobbiton should        1   0   0   
of how a                  0   1   0   
of it but                 1   0   0   
of it first               0   1   0   
of it i                   1   0   0   
of it must                0   0   1   
of mind and               0   1   0   
of neck which             0   0   1   
of nothing except         0   0   1   
of number four            0   0   2   
of our particular         0   1   0   
of pegs for               0   1   0   
of poor and               1   0   0   
of privet drive           0   0   1   
of remarkable tale        0   1   0   
of something peculiar     0   0   1   
of special magnificence   1   0   0   
of strangely dressed      0   0   1   
of the big                0   1   0   
of the brandywine         1   0   0   
of the coming             1   0   0   
of the hill               0   2   0   
of the hobbits            0   1   0   
of the light              0   0   1   
of the old                0   1   0   
of the sackvillebagginses 1   0   0   
of the shire              1   0   0   
of the street             0   0   1   
of the the                0   1   0   
of the three              0   1   0   
of the took               0   1   0   
of the world              0   1   0   
of the would              0   1   0   
of their days             0   1   0   
of them had               0   0   1   
of them noticed           0   0   1   
of them were              0   1   1   
of these and              1   0   0   
of these wardrobes        0   1   0   
of these weirdos          0   0   1   
of this of                0   1   0   
of tongues began          1   0   0   
of town drills            0   0   1   
of tunnels stuffed        1   0   0   
of vegetables in          1   0   0   
of visitors the           0   1   0   
of what i                 0   1   0   
of worms and              0   1   0   
off they are              0   1   0   
office on the             0   0   1   
often said in             0   1   0   
old and stiff             1   0   0   
old folk might            1   0   0   
old forest a              1   0   0   
old forest but            1   0   0   
old ham gamgee            1   0   0   
old holman in             1   0   0   
old noakes of             1   0   0   
old or so                 0   1   0   
old took head             0   1   0   
old took himself          1   0   0   
older folk suddenly       1   0   0   
older than he             0   0   1   
on a huddle               0   0   1   
on and a                  0   0   1   
on and on                 0   1   0   
on another no             0   1   0   
on any question           0   1   0   
on baggins at             1   0   0   
on but it                 1   0   0   
on by his                 1   0   0   
on drills dursley         0   0   1   
on drills that            0   0   1   
on going fairly           0   1   0   
on one side               0   1   0   
on or to                  0   1   0   
on that big               1   0   0   
on the bywater            1   0   0   
on the cheek              0   0   1   
on the corner             0   0   2   
on the dull               0   0   1   
on the edge               0   0   1   
on the hill               1   0   0   
on the neighbors          0   0   1   
on the ninth              0   0   1   
on the same               0   2   0   
on the side               0   1   0   
on the steering           0   0   1   
on the wrong              1   0   0   
on their heads            0   1   0   
on to a                   0   1   0   
on very friendly          1   0   0   
on visiting terms         1   0   0   
on with as                0   1   0   
on young people           0   0   1   
once again the            1   0   0   
once in a                 0   1   0   
one day then              1   0   0   
one had a                 1   0   0   
one morning long          0   1   0   
one of the                0   2   0   
one side and              0   1   0   
ones to have              0   1   0   
only a quarter            0   1   0   
only because most         0   1   0   
only heard very           0   1   0   
only ones to              0   1   0   
only reached and          1   0   0   
only son although         0   1   0   
only waited for           0   1   0   
oozy smell nor            0   1   0   
opened on to              0   1   0   
opened out of             0   1   0   
opinion there was         0   0   1   
or across the             0   1   0   
or did anything           0   1   0   
or mysterious because     0   0   1   
or no magic               0   1   0   
or over the               0   1   0   
or signs dursley          0   0   1   
or so and                 0   1   0   
or to eat                 0   1   0   
or were a                 0   1   0   
order of drills           0   0   1   
ordinary everyday sort    0   1   0   
other darker rumours      1   0   0   
other families that       0   1   0   
our comfortably at        1   0   0   
our height and            0   1   0   
our particular what       0   1   0   
our story starts          0   0   1   
out about the             0   0   1   
out his most              0   0   1   
out of his                0   0   2   
out of it                 0   1   0   
out of mind               0   1   0   
out of number             0   0   1   
out the chance            0   1   0   
outside to suggest        0   0   1   
over garden fences        0   0   1   
over his garden           0   1   0   
over the country          0   0   1   
over the hill             0   1   0   
over the shire            1   0   0   
overhead most of          0   0   1   
owl after owl             0   0   1   
owl even at               0   0   1   
owl flutter past          0   0   1   
owl sped overhead         0   0   1   
owls swoop ing            0   0   1   
paid for they             1   0   0   
painted green with        0   1   0   
panelled walls and        0   1   0   
pantries lots of          0   1   0   
parking lot his           0   0   1   
particular what is        0   1   0   
partly with her           0   1   0   
party in a                0   1   0   
party of special          1   0   0   
passage the best          0   1   0   
passed each year          1   0   0   
passion for family        1   0   0   
past eight dursley        0   0   1   
past in broad             0   0   1   
past the window           0   0   1   
pecked dursley on         0   0   1   
peculiar a cat            0   0   1   
peculiar and had          1   0   0   
pegs for hats             0   1   0   
people about half         0   1   0   
people about people       0   0   1   
people as they            0   1   0   
people considered them    0   1   0   
people down in            0   0   1   
people for many           0   1   0   
people he made            0   0   1   
people he supposed        0   0   1   
people in cloaks          0   0   1   
people were obviously     0   0   1   
people were willing       1   0   0   
people who dressed        0   0   1   
people you expect         0   0   1   
perfect truth for         1   0   0   
perfectly normal morning  0   0   1   
perfectly normal thank    0   0   1   
perfectly round door      0   1   0   
perpetual youth as        1   0   0   
picked out his            0   0   1   
picked up his             0   0   1   
pipe that reached         0   1   0   
place if half             1   0   0   
planned for that          1   0   0   
pointed and gazed         0   0   1   
polished chairs and       0   1   0   
polite to him             1   0   0   
poor and unimportant      1   0   0   
popularly believed whatever1   0   0   
porthole painted green    0   1   0   
possess apparently perpetual1   0   0   
possible to be            0   0   1   
potatoes the gaffer       1   0   0   
potter was dursley        0   0   1   
potters arrived in        0   0   1   
potters away they         0   0   1   
potters had a             0   0   1   
potters potter was        0   0   1   
prepared for any          0   1   0   
pretended she did         0   0   1   
privet drive but          0   0   1   
privet drive no           0   0   1   
privet drive were         0   0   1   
probable that bilbo       0   1   0   
probably some silly       0   0   1   
prolonged vigour to       1   0   0   
prosperous and bilbo      0   1   0   
proud to say              0   0   1   
provided with polished    0   1   0   
put in daddy              1   0   0   
put the cat               0   0   1   
quarter of what           0   1   0   
queer breed seemingly     1   0   0   
queer in his              0   1   0   
queer put in              1   0   0   
question without the      0   1   0   
quickly when large        0   1   0   
quiet of the              0   1   0   
quietly and quickly       0   1   0   
quite close by            0   0   1   
quite exceptional was     1   0   0   
quite straight into       0   1   0   
ran at the                0   1   0   
rare and shy              0   1   0   
rather curious number     1   0   0   
reached and frodo         1   0   0   
reached nearly down       0   1   0   
read maps or              0   0   1   
reading a map             0   0   1   
reading the sign          0   0   1   
ready to hear             1   0   0   
realize what he           0   0   1   
reason for keeping        0   0   1   
recognized as the         1   0   0   
relatives except of       1   0   0   
remained on visiting      1   0   0   
remained that the         0   1   0   
remained to the           0   1   0   
remarkable daughters of   0   1   0   
remarkable disappearance and1   0   0   
reminiscences in welcome  1   0   0   
reputedly inexhaustible wealth1   0   0   
respect but he            0   1   0   
respectable age for       1   0   0   
respectable as the        0   1   0   
respectable hobbit was    1   0   0   
respectable not only      0   1   0   
return the riches         1   0   0   
rich and very             1   0   0   
rich but also             0   1   0   
richer not that           0   1   0   
riches he had             1   0   0   
right agin the            1   0   0   
right dad said            1   0   0   
river and right           1   0   0   
river and that            1   0   0   
river that ran            0   1   0   
river this hobbit         0   1   0   
road and he               1   0   0   
road he watched           0   0   1   
road to buy               0   0   1   
rooms devoted to          0   1   0   
rooms were all            0   1   0   
round called and          0   1   0   
round door like           0   1   0   
round doors opened        0   1   0   
round windows looking     0   1   0   
row just below            1   0   0   
rumour of the             1   0   0   
rumours before of         1   0   0   
sackvillebagginses were finally1   0   0   
said bilbo one            1   0   0   
said in other             0   1   0   
said natural and          1   0   0   
said privet drive         0   0   1   
said several voices       1   0   0   
said the gaffer           2   0   0   
sam gamgee both           1   0   0   
same as at                1   0   0   
same birthday september   1   0   0   
same floor and            0   1   0   
same job before           1   0   0   
same passage the          0   1   0   
sandy hole with           0   1   0   
sat in the                0   0   1   
sat with his              0   0   1   
saw on young              0   0   1   
say but be                1   0   0   
say if the                0   0   1   
say it beats              1   0   0   
say on any                0   1   0   
say that the              1   0   0   
say that they             0   0   1   
saying the mother         0   1   0   
saying things altogether  0   1   0   
screaming dudley into     0   0   1   
second dursley did        0   0   1   
second edition of         0   1   0   
secret and their          0   0   1   
see that a                0   0   1   
see the owls              0   0   1   
see whether he            0   1   0   
seemed to be              0   0   1   
seemed to have            1   0   0   
seemed unfair that        1   0   0   
seemingly they fool       1   0   0   
seen an owl               0   0   1   
seen him this             0   0   1   
seen then he              0   0   1   
september had better      1   0   0   
settled down immovably    0   1   0   
several important telephone0   0   1   
several voices they       1   0   0   
several years in          0   0   1   
shake and put             0   0   1   
she became bungo          0   1   0   
she did have              0   0   1   
she spent so              0   0   1   
she wrestled a            0   0   1   
shiny yellow brass        0   1   0   
shire for sixty           1   0   0   
shire the history         1   0   0   
shoes because their       0   1   0   
shook their heads         1   0   0   
shortly be celebrating    1   0   0   
should go looking         1   0   0   
should possess apparently 1   0   0   
shouted a bit             0   0   1   
shuddered to think        0   0   1   
shy of the                0   1   0   
side and then             0   1   0   
side going in             0   1   0   
side of the               1   1   0   
side something that       0   1   0   
sight what could          0   0   1   
sign cats could           0   0   1   
sign of something         0   0   1   
sign that said            0   0   1   
signs dursley gave        0   0   1   
silly stunt these         0   0   1   
since his remarkable      1   0   0   
since they have           0   1   0   
sister and her            0   0   1   
sister because her        0   0   1   
sister but they           0   0   1   
sit down on               0   1   0   
sixty years ever          1   0   0   
sky outside to            0   0   1   
sloping down to           0   1   0   
small inn on              1   0   0   
small river that          0   1   0   
small son called          0   0   1   
small son too             0   0   1   
small wonder that         1   0   0   
smaller than the          0   1   0   
smell nor yet             0   1   0   
smoke with panelled       0   1   0   
smoking an enormous       0   1   0   
so and living             0   1   0   
so far trouble            1   0   0   
so much of                0   0   1   
so no wonder              1   0   0   
soles and thick           0   1   0   
solid and comfortable     0   1   0   
some authority for        1   0   0   
some curious chance       0   1   0   
some description nowadays 0   1   0   
some of his               1   0   0   
some silly stunt          0   0   1   
some stupid new           0   0   1   
some that shook           1   0   0   
somebody would discover   0   0   1   
something a bit           0   1   0   
something else as         0   0   1   
something not entirely    0   1   0   
something peculiar a      0   0   1   
something quite exceptional1   0   0   
something that only       0   1   0   
something yes that        0   0   1   
son although he           0   1   0   
son called dudley         0   0   1   
son sam gamgee            1   0   0   
son too but               0   0   1   
son were on               1   0   0   
soon be happening         0   0   1   
sort of remarkable        0   1   0   
sort which helps          0   1   0   
special magnificence there1   0   0   
sped overhead most        0   0   1   
spent so much             0   0   1   
spoke with some           1   0   0   
spying on the             0   0   1   
standing at his           0   1   0   
standing on the           0   0   1   
standing quite close      0   0   1   
stared at the             0   0   1   
stared back as            0   0   1   
starts there was          0   0   1   
steering wheel and        0   0   1   
stiff in the              1   0   0   
still in his              1   0   0   
still it is               0   1   0   
still numerous and        0   1   0   
still something not       0   1   0   
stomach they dress        0   1   0   
story of how              0   1   0   
story starts there        0   0   1   
straight into the         0   1   0   
strange and mysterious    0   0   1   
strange or mysterious     0   0   1   
strangely dressed people  0   0   1   
street did they           0   0   1   
street that he            0   0   1   
street the dursleys       0   0   1   
stretch his legs          0   0   1   
struck dursley that       0   0   1   
stuff on their            0   1   0   
stuffed with treasure     1   0   0   
stunt these people        0   0   1   
stupid folk like          0   1   0   
stupid new fashion        0   0   1   
such nonsense dursley     0   0   1   
suddenly found their      1   0   0   
suggest that strange      0   0   1   
suppose hobbits need      0   1   0   
supposed this was         0   0   1   
swoop ing past            0   0   1   
tabby cat standing        0   0   1   
taken a fairy             0   1   0   
tales be right            1   0   0   
talk and excitement       1   0   0   
tantrum and throwing      0   0   1   
tawny owl flutter         0   0   1   
telephone calls and       0   0   1   
tell of him               1   0   0   
tell what a               0   1   0   
tended the garden         1   0   0   
terms with bilbo          1   0   0   
terms with his            1   0   0   
than half a               1   0   0   
than he was               0   0   1   
than looks after          1   0   0   
than old ham              1   0   0   
than the bearded          0   1   0   
thank you very            0   0   1   
that a couple             0   0   1   
that anyone should        1   0   0   
that as it                1   0   0   
that autumn bilbo         1   0   0   
that belladonna took      0   1   0   
that big river            1   0   0   
that bilbo her            0   1   0   
that day but              0   0   1   
that he noticed           0   0   1   
that he was               1   0   0   
that he would             1   0   0   
that lives with           1   0   0   
that long ago             0   1   0   
that man had              0   0   1   
that means comfort        0   1   0   
that morning he           0   0   1   
that natural small        1   0   0   
that now that             1   0   0   
that only waited          0   1   0   
that ran at               0   1   0   
that reached nearly       0   1   0   
that said privet          0   0   1   
that shook their          1   0   0   
that somebody would       0   0   1   
that something quite      1   0   0   
that strange and          0   0   1   
that the brandybucks      1   0   0   
that the hill             1   0   0   
that the potters          0   0   1   
that the tooks            0   1   0   
that there seemed         0   0   1   
that they were            0   0   1   
that this was             0   0   1   
that time frodo           1   0   0   
that trouble came         1   0   0   
that was father           0   1   0   
that was not              1   0   0   
that was of               0   1   0   
that was the              0   1   0   
that was to               0   1   0   
that when and             0   0   1   
that would be             0   0   1   
the and he                1   0   0   
the bagginses had         1   1   0   
the bagginses though      0   1   0   
the bearded dwarves       0   1   0   
the beautiful built       0   1   0   
the best rooms            0   1   0   
the big people            0   1   0   
the bother of             0   1   0   
the brandybucks of        1   0   0   
the brandywine river      1   0   0   
the bywater road          1   0   0   
the cat in                0   0   1   
the cat it                0   0   1   
the cat out               0   0   1   
the chance never          0   1   0   
the cheek and             0   0   1   
the chief topic           1   0   0   
the cloudy sky            0   0   1   
the coming event          1   0   0   
the corner and            0   0   1   
the corner of             0   0   2   
the country dursley       0   0   1   
the date of               1   0   0   
the director of           0   0   1   
the door opened           0   1   0   
the dull gray             0   0   1   
the dursleys had          0   0   2   
the dursleys knew         0   0   1   
the dursleys shuddered    0   0   1   
the edge of               0   0   1   
the eldest of             1   0   0   
the end of                0   1   0   
the end the               0   1   0   
the ends of               0   1   0   
the exact middle          0   1   0   
the fact remained         0   1   0   
the family hushed         0   1   0   
the famous belladonna     0   1   0   
the first sign            0   0   1   
the foot of               0   1   0   
the gaffer declared       1   0   0   
the gaffer he             1   0   0   
the gaffer that           1   0   0   
the gaffer was            1   0   0   
the garden at             1   0   0   
the getups you            0   0   1   
the ground there          0   1   0   
the growing of            1   0   0   
the grunnings parking     0   0   1   
the hill as               0   1   0   
the hill at               1   0   0   
the hill for              0   1   0   
the hill it               0   1   0   
the hill itself           1   0   0   
the hill or               0   2   0   
the history and           1   0   0   
the hobbit bedrooms       0   1   0   
the hobbit was            0   1   0   
the hobbits called        1   0   0   
the hobbits of            1   0   0   
the hobbits were          0   1   0   
the hobbits who           0   1   0   
the hopes of              1   0   0   
the house he              0   0   1   
the irresponsible twenties1   0   0   
the ivy bush              1   0   0   
the job was               1   0   0   
the joints the            1   0   0   
the last people           0   0   1   
the leading authority     1   0   0   
the light dursley         0   0   1   
the mark there            1   0   0   
the matter of             1   0   0   
the most luxurious        0   1   0   
the mother of             0   2   0   
the neighbors the         0   0   1   
the neighbors would       0   0   1   
the neighbour they        1   0   0   
the neighbourhood including1   0   0   
the neighbourhood of      0   1   0   
the nerve of              0   0   1   
the ninth floor           0   0   1   
the old folk              1   0   0   
the old forest            2   0   0   
the old took              1   1   0   
the older folk            1   0   0   
the only ones             0   1   0   
the ordinary everyday     0   1   0   
the owls swoop            0   0   1   
the people for            0   1   0   
the potters arrived       0   0   1   
the potters away          0   0   1   
the potters had           0   0   1   
the potters potter        0   0   1   
the quiet of              0   1   0   
the respect but           0   1   0   
the riches he             1   0   0   
the river this            0   1   0   
the road he               0   0   1   
the road to               0   0   1   
the sackvillebagginses were1   0   0   
the same as               1   0   0   
the same birthday         1   0   0   
the same floor            0   1   0   
the same job              1   0   0   
the same passage          0   1   0   
the shire for             1   0   0   
the shire the             1   0   0   
the side going            0   1   0   
the side of               0   1   0   
the sign cats             0   0   1   
the sign that             0   0   1   
the small river           0   1   0   
the steering wheel        0   0   1   
the stomach they          0   1   0   
the street did            0   0   1   
the street that           0   0   1   
the street the            0   0   1   
the stuff on              0   1   0   
the tales be              1   0   0   
the the hill              0   1   0   
the three remarkable      0   1   0   
the took ancestors        0   1   0   
the took side             0   1   0   
the tooks were            0   1   0   
the traffic moved         0   0   1   
the tunnel wound          0   1   0   
the usual amount          0   0   1   
the usual morning         0   0   1   
the walls little          0   0   1   
the water and             0   1   0   
the water the             0   1   0   
the window at             0   0   1   
the window in             0   0   1   
the wonder of             1   0   0   
the world when            0   1   0   
the would go              0   1   0   
the wrong side            1   0   0   
their days still          0   1   0   
their feet grow           0   1   0   
their greatest fear       0   0   1   
their heads and           1   0   0   
their heads which         0   1   0   
their opinion there       0   0   1   
their reminiscences in    1   0   0   
them and once             0   1   0   
them except the           0   1   0   
them had never            0   0   1   
them noticed a            0   0   1   
them to disappear         0   1   0   
them very respectable     0   1   0   
them were rich            0   1   0   
them were young           0   0   1   
then he jerked            0   0   1   
then it struck            0   0   1   
then on another           0   1   0   
then we can               1   0   0   
there in buckland         1   0   0   
there is little           0   1   0   
there is to               0   1   0   
there lived a             0   1   0   
there seemed to           0   0   1   
there they remained       0   1   0   
there was a               0   0   2   
there was also            1   0   0   
there was less            0   1   0   
there was much            1   0   0   
there was never           1   0   0   
there was no              0   0   1   
there was nothing         0   0   1   
there was still           0   1   0   
there were some           1   0   0   
these and favourite       1   0   0   
these people were         0   0   1   
these wardrobes he        0   1   0   
these weirdos standing    0   0   1   
these were the            0   1   0   
they also had             0   0   1   
they are inclined         0   1   0   
they are or               0   1   0   
they began to             1   0   0   
they call us              0   1   0   
they can get              0   1   0   
they can hear             0   1   0   
they could bear           0   0   1   
they did want             0   0   1   
they discreetly disappeared0   1   0   
they dress in             0   1   0   
they fool about           1   0   0   
they had heard            1   0   0   
they had met              0   0   1   
they had never            0   0   1   
they have become          0   1   0   
they have twice           0   1   0   
they just did             0   0   1   
they live on              1   0   0   
they lived on             1   0   0   
they never had            0   1   0   
they pointed and          0   0   1   
they remained to          0   1   0   
they said natural         1   0   0   
they say it               1   0   0   
they think they           0   0   1   
they wanted but           0   0   1   
they were perfectly       0   0   1   
they were ready           1   0   0   
they were the             0   0   1   
they were undoubtedly     0   1   0   
they were whispering      0   0   1   
thick warm brown          0   1   0   
thin and blonde           0   0   1   
thing it seemed           1   0   0   
things altogether unexpected0   1   0   
things would soon         0   0   1   
think they could          0   0   1   
think what the            0   0   1   
thinking of it            0   0   1   
this and other            1   0   0   
this boy was              0   0   1   
this frodo that           1   0   0   
this hobbit was           0   1   0   
this is a                 0   1   0   
this of bilbo             0   1   0   
this was probably         0   0   1   
this was some             0   0   1   
this was too              1   0   0   
though people down        0   0   1   
though they were          0   1   0   
thought he stretch        0   0   1   
thought of nothing        0   0   1   
thought this was          1   0   0   
three remarkable daughters0   1   0   
throwing his cereal       0   0   1   
tie for work              0   0   1   
tiled and carpeted        0   1   0   
till he was               1   0   0   
time craning over         0   0   1   
time frodo was            1   0   0   
time out of               0   1   0   
time wore on              1   0   0   
to a hall                 0   1   0   
to be a                   1   0   1   
to be an                  1   0   0   
to be fat                 0   1   0   
to be found               0   1   0   
to be involved            0   0   1   
to be older               0   0   1   
to be paid                1   0   0   
to be the                 0   0   1   
to buy himself            0   0   1   
to call him               1   0   0   
to clothes kitchens       0   1   0   
to come out               0   1   0   
to concentrate on         0   0   1   
to disappear quietly      0   1   0   
to eat it                 0   1   0   
to forgive him            1   0   0   
to get that               0   0   1   
to go on                  0   1   0   
to grow up                1   0   0   
to have little            1   0   0   
to have the               1   0   0   
to have windows           0   1   0   
to hear it                1   0   0   
to hear you               0   1   0   
to him calling            1   0   0   
to his woolly             0   1   0   
to kiss dudley            0   0   1   
to live at                1   0   0   
to look again             0   0   1   
to marvel at              1   0   0   
to meet very              1   0   0   
to say that               0   0   1   
to see that               0   0   1   
to sit down               0   1   0   
to suggest that           0   0   1   
to tell of                1   0   0   
to the end                0   1   0   
to the river              0   1   0   
to the window             0   0   1   
to think what             0   0   1   
to wag in                 1   0   0   
toes neatly brushed       0   1   0   
together dursley was      0   0   1   
