								  t1  t2  t3
cat it stared                     0   0   1   
cat out                           0   0   1   
cat out of                        0   0   1   
cat reading                       0   0   1   
cat reading a                     0   0   1   
cat standing                      0   0   1   
cat standing on                   0   0   1   
cats                              0   0   1   
cats could                        0   0   1   
cats could read                   0   0   1   
celebrate                         1   0   0   
celebrate our                     1   0   0   
celebrate our comfortably         1   0   0   
celebrating                       1   0   0   
celebrating his                   1   0   0   
celebrating his birthday          1   0   0   
cellars                           0   1   0   
cellars pantries                  0   1   0   
cellars pantries lots             0   1   0   
cereal                            0   0   1   
cereal at                         0   0   1   
cereal at the                     0   0   1   
certainly                         0   1   0   
certainly there                   0   1   0   
certainly there was               0   1   0   
chair                             0   0   1   
chair none                        0   0   1   
chair none of                     0   0   1   
chairs                            0   1   0   
chairs and                        0   1   0   
chairs and lots                   0   1   0   
chance                            0   3   0   
chance never                      0   1   0   
chance never arrived              0   1   0   
chance one                        0   1   0   
chance one morning                0   1   0   
chance to                         0   1   0   
chance to come                    0   1   0   
character                         1   0   0   
character of                      1   0   0   
character of bilbo                1   0   0   
cheek                             0   0   1   
cheek and                         0   0   1   
cheek and tried                   0   0   1   
chief                             1   0   0   
chief topic                       1   0   0   
chief topic of                    1   0   0   
chiefly                           0   1   0   
chiefly green                     0   1   0   
chiefly green and                 0   1   0   
child                             0   0   1   
child like                        0   0   1   
child like that                   0   0   1   
childhood                         1   0   0   
childhood and                     1   0   0   
childhood and coming              1   0   0   
chortled                          0   0   1   
chortled dursley                  0   0   1   
chortled dursley as               0   0   1   
clever                            0   1   0   
clever brown                      0   1   0   
clever brown fingers              0   1   0   
cloak                             0   0   1   
cloak the                         0   0   1   
cloak the nerve                   0   0   1   
cloaks                            0   0   1   
cloaks dursley                    0   0   1   
cloaks dursley could              0   0   1   
close                             1   0   1   
close by                          0   0   1   
close by they                     0   0   1   
close friends                     1   0   0   
close friends until               1   0   0   
clothes                           0   1   1   
clothes kitchens                  0   1   0   
clothes kitchens all              0   1   0   
clothes the                       0   0   1   
clothes the getups                0   0   1   
cloudy                            0   0   1   
cloudy sky                        0   0   1   
cloudy sky outside                0   0   1   
collecting                        0   0   1   
collecting for                    0   0   1   
collecting for something          0   0   1   
colours                           0   1   0   
colours chiefly                   0   1   0   
colours chiefly green             0   1   0   
combined                          1   0   0   
combined at                       1   0   0   
combined at bag                   1   0   0   
come                              3   2   0   
come and                          2   0   0   
come and as                       1   0   0   
come and live                     1   0   0   
come blundering                   0   1   0   
come blundering along             0   1   0   
come of                           1   0   0   
come of it                        1   0   0   
come out                          0   1   0   
come out the                      0   1   0   
comfort                           0   1   0   
comfort it                        0   1   0   
comfort it had                    0   1   0   
comfortable                       0   2   0   
comfortable father                0   1   0   
comfortable father got            0   1   0   
comfortable tunnel                0   1   0   
comfortable tunnel without        0   1   0   
comfortably                       1   0   0   
comfortably at                    1   0   0   
comfortably at that               1   0   0   
coming                            2   0   0   
coming event                      1   0   0   
coming event travelled            1   0   0   
coming of                         1   0   0   
coming of age                     1   0   0   
commonly                          1   0   0   
commonly known                    1   0   0   
commonly known as                 1   0   0   
concentrate                       0   0   1   
concentrate on                    0   0   1   
concentrate on drills             0   0   1   
considered                        0   1   0   
considered them                   0   1   0   
considered them very              0   1   0   
constantly                        1   0   0   
constantly upon                   1   0   0   
constantly upon the               1   0   0   
consulting                        1   0   0   
consulting him                    1   0   0   
consulting him constantly         1   0   0   
conversation                      1   0   0   
conversation and                  1   0   0   
conversation and the              1   0   0   
corner                            0   0   3   
corner and                        0   0   1   
corner and up                     0   0   1   
corner of                         0   0   2   
corner of privet                  0   0   1   
corner of the                     0   0   1   
could                             1   1   5   
could bear                        0   0   2   
could bear it                     0   0   1   
could bear people                 0   0   1   
could he                          0   0   1   
could he have                     0   0   1   
could help                        0   0   1   
could help noticing               0   0   1   
could read                        0   0   1   
could read maps                   0   0   1   
could tell                        0   1   0   
could tell what                   0   1   0   
could wish                        1   0   0   
could wish to                     1   0   0   
country                           0   0   1   
country dursley                   0   0   1   
country dursley hummed            0   0   1   
couple                            0   0   1   
couple of                         0   0   1   
couple of them                    0   0   1   
course                            2   1   0   
course absurd                     0   1   0   
course absurd but                 0   1   0   
course but                        1   0   0   
course but hobbits                1   0   0   
course the                        1   0   0   
course the and                    1   0   0   
cousins                           1   0   0   
cousins began                     1   0   0   
cousins began to                  1   0   0   
craning                           0   0   1   
craning over                      0   0   1   
craning over garden               0   0   1   
curious                           1   1   0   
curious chance                    0   1   0   
curious chance one                0   1   0   
curious number                    1   0   0   
curious number and                1   0   0   
curly                             0   1   0   
curly have                        0   1   0   
curly have long                   0   1   0   
dad                               1   0   0   
dad said                          1   0   0   
dad said the                      1   0   0   
daddy                             1   0   0   
daddy twofoot                     1   0   0   
daddy twofoot the                 1   0   0   
dark                              1   0   0   
dark bad                          1   0   0   
dark bad place                    1   0   0   
darker                            1   0   0   
darker rumours                    1   0   0   
darker rumours before             1   0   0   
dashed                            1   0   0   
dashed bilbo                      1   0   0   
dashed bilbo and                  1   0   0   
date                              1   0   0   
date of                           1   0   0   
date of his                       1   0   0   
daughters                         0   1   0   
daughters of                      0   1   0   
daughters of the                  0   1   0   
day                               1   1   1   
day but                           0   0   1   
day but on                        0   0   1   
day then                          1   0   0   
day then we                       1   0   0   
day when                          0   1   0   
day when they                     0   1   0   
daylight                          0   0   1   
daylight though                   0   0   1   
daylight though people            0   0   1   
days                              0   1   0   
days still                        0   1   0   
days still it                     0   1   0   
decent                            1   0   0   
decent respectable                1   0   0   
decent respectable hobbit         1   0   0   
declared                          1   0   0   
declared with                     1   0   0   
declared with perfect             1   0   0   
deep                              0   1   0   
deep fruity                       0   1   0   
deep fruity laughs                0   1   0   
demand                            1   0   0   
demand no                         1   0   0   
demand no one                     1   0   0   
described                         0   1   0   
described for                     0   1   0   
described for you                 0   1   0   
description                       0   1   0   
description nowadays              0   1   0   
description nowadays since        0   1   0   
devoted                           1   1   0   
devoted admirers                  1   0   0   
devoted admirers among            1   0   0   
devoted to                        0   1   0   
devoted to clothes                0   1   0   
did                               0   1   7   
did anything                      0   1   0   
did anything unexpected           0   1   0   
did have                          0   0   2   
did have a                        0   0   2   
did hold                          0   0   1   
did hold with                     0   0   1   
did realize                       0   0   1   
did realize what                  0   0   1   
did see                           0   0   1   
did see the                       0   0   1   
did they                          0   0   1   
did they pointed                  0   0   1   
did want                          0   0   1   
did want dudley                   0   0   1   
different                         0   0   1   
different people                  0   0   1   
different people he               0   0   1   
dinner                            0   1   0   
dinner which                      0   1   0   
dinner which they                 0   1   0   
director                          0   0   1   
director of                       0   0   1   
director of a                     0   0   1   
dirty                             0   1   0   
dirty wet                         0   1   0   
dirty wet hole                    0   1   0   
disappear                         0   1   0   
disappear quietly                 0   1   0   
disappear quietly and             0   1   0   
disappearance                     1   0   0   
disappearance and                 1   0   0   
disappearance and unexpected      1   0   0   
disappeared                       0   1   0   
disappeared and                   0   1   0   
disappeared and the               0   1   0   
discover                          0   0   1   
discover it                       0   0   1   
discover it they                  0   0   1   
discreetly                        0   1   0   
discreetly disappeared            0   1   0   
discreetly disappeared and        0   1   0   
doing                             0   1   0   
doing and                         0   1   0   
doing and saying                  0   1   0   
door                              0   3   0   
door after                        0   1   0   
door after breakfast              0   1   0   
door like                         0   1   0   
door like a                       0   1   0   
door opened                       0   1   0   
door opened on                    0   1   0   
doors                             0   1   0   
doors opened                      0   1   0   
doors opened out                  0   1   0   
down                              0   4   1   
down immovably                    0   1   0   
down immovably by                 0   1   0   
down in                           0   0   1   
down in the                       0   0   1   
down on                           0   1   0   
down on or                        0   1   0   
down to                           0   2   0   
down to his                       0   1   0   
down to the                       0   1   0   
dress                             0   1   0   
dress in                          0   1   0   
dress in bright                   0   1   0   
dressed                           0   0   2   
dressed in                        0   0   1   
dressed in funny                  0   0   1   
dressed people                    0   0   1   
dressed people about              0   0   1   
drills                            0   0   5   
drills dursley                    0   0   1   
drills dursley always             0   0   1   
drills he                         0   0   2   
drills he was                     0   0   2   
drills that                       0   0   1   
drills that morning               0   0   1   
drills were                       0   0   1   
drills were driven                0   0   1   
drive                             0   0   4   
drive but                         0   0   1   
drive but there                   0   0   1   
drive it                          0   0   1   
drive it was                      0   0   1   
drive no                          0   0   1   
drive no looking                  0   0   1   
drive were                        0   0   1   
drive were proud                  0   0   1   
driven                            0   0   1   
driven out                        0   0   1   
driven out of                     0   0   1   
drogo                             1   0   0   
drogo baggins                     1   0   0   
drogo baggins there               1   0   0   
drove                             0   0   2   
drove around                      0   0   1   
drove around the                  0   0   1   
drove toward                      0   0   1   
drove toward town                 0   0   1   
drummed                           0   0   1   
drummed his                       0   0   1   
drummed his fingers               0   0   1   
dry                               0   1   0   
dry bare                          0   1   0   
dry bare sandy                    0   1   0   
dudley                            0   0   5   
dudley and                        0   0   1   
dudley and in                     0   0   1   
dudley but                        0   0   1   
dudley but missed                 0   0   1   
dudley into                       0   0   1   
dudley into his                   0   0   1   
dudley mixing                     0   0   1   
dudley mixing with                0   0   1   
dudley was                        0   0   1   
dudley was now                    0   0   1   
dull                              0   0   1   
dull gray                         0   0   1   
dull gray tuesday                 0   0   1   
dursley                           0   0   21  
dursley always                    0   0   1   
dursley always sat                0   0   1   
dursley arrived                   0   0   1   
dursley arrived in                0   0   1   
dursley as                        0   0   1   
dursley as he                     0   0   1   
dursley blinked                   0   0   1   
dursley blinked and               0   0   1   
dursley could                     0   0   1   
dursley could bear                0   0   1   
dursley did                       0   0   1   
dursley did realize               0   0   1   
dursley drove                     0   0   1   
dursley drove around              0   0   1   
dursley gave                      0   0   1   
dursley gave himself              0   0   1   
dursley gossiped                  0   0   1   
dursley gossiped away             0   0   1   
dursley however                   0   0   1   
dursley however had               0   0   1   
dursley hummed                    0   0   1   
dursley hummed as                 0   0   1   
dursley of                        0   0   1   
dursley of number                 0   0   1   
dursley on                        0   0   1   
dursley on the                    0   0   1   
dursley picked                    0   0   1   
dursley picked up                 0   0   1   
dursley pretended                 0   0   1   
dursley pretended she             0   0   1   
dursley sister                    0   0   1   
dursley sister but                0   0   1   
dursley that                      0   0   1   
dursley that this                 0   0   1   
dursley was                       0   0   3   
dursley was enraged               0   0   1   
dursley was the                   0   0   1   
dursley was thin                  0   0   1   
dursley woke                      0   0   1   
dursley woke up                   0   0   1   
dursleys                          0   0   4   
dursleys had                      0   0   2   
dursleys had a                    0   0   1   
dursleys had everything           0   0   1   
dursleys knew                     0   0   1   
dursleys knew that                0   0   1   
dursleys shuddered                0   0   1   
dursleys shuddered to             0   0   1   
dwarves                           0   1   0   
dwarves hobbits                   0   1   0   
dwarves hobbits have              0   1   0   
each                              1   0   0   
each year                         1   0   0   
each year the                     1   0   0   
eat                               0   1   0   
eat it                            0   1   0   
eat it was                        0   1   0   
edge                              0   0   1   
edge of                           0   0   1   
edge of town                      0   0   1   
edition                           0   1   0   
edition of                        0   1   0   
edition of his                    0   1   0   
effect                            1   0   0   
effect on                         1   0   0   
effect on baggins                 1   0   0   
eight                             0   0   1   
eight dursley                     0   0   1   
eight dursley picked              0   0   1   
either                            0   1   0   
either under                      0   1   0   
either under the                  0   1   0   
eldest                            1   0   0   
eldest of                         1   0   0   
eldest of these                   1   0   0   
elephants                         0   1   0   
elephants which                   0   1   0   
elephants which they              0   1   0   
else                              0   0   1   
else as                           0   0   1   
else as he                        0   0   1   
end                               6   2   0   
end and                           1   0   0   
end and the                       1   0   0   
end announced                     1   0   0   
end announced that                1   0   0   
end but                           1   0   0   
end but now                       1   0   0   
end for                           1   0   0   
end for forty                     1   0   0   
end of                            0   1   0   
end of their                      0   1   0   
end the                           0   1   0   
end the mother                    0   1   0   
end very                          1   0   0   
end very nice                     1   0   0   
end was                           1   0   0   
end was full                      1   0   0   
ends                              0   1   0   
ends of                           0   1   0   
ends of worms                     0   1   0   
enormous                          0   1   0   
enormous long                     0   1   0   
enormous long wooden              0   1   0   
enough                            1   1   0   
enough for                        1   0   0   
enough for fame                   1   0   0   
enough to                         0   1   0   
enough to go                      0   1   0   
enraged                           0   0   1   
enraged to                        0   0   1   
enraged to see                    0   0   1   
entirely                          0   1   0   
entirely hobbitlike               0   1   0   
entirely hobbitlike about         0   1   0   
especially                        1   1   0   
especially after                  0   1   0   
especially after dinner           0   1   0   
especially potatoes               1   0   0   
especially potatoes the           1   0   0   
even                              0   0   2   
even at                           0   0   1   
even at nighttime                 0   0   1   
even seen                         0   0   1   
even seen him                     0   0   1   
event                             1   0   0   
event travelled                   1   0   0   
event travelled all               1   0   0   
ever                              1   1   0   
ever had                          0   1   0   
ever had any                      0   1   0   
ever since                        1   0   0   
ever since his                    1   0   0   
everyday                          0   1   0   
everyday sort                     0   1   0   
everyday sort which               0   1   0   
everything                        0   0   1   
everything they                   0   0   1   
everything they wanted            0   0   1   
exact                             0   1   0   
exact middle                      0   1   0   
exact middle the                  0   1   0   
exactly                           0   1   0   
exactly like                      0   1   0   
exactly like a                    0   1   0   
except                            1   1   1   
except a                          0   0   1   
except a large                    0   0   1   
except of                         1   0   0   
except of course                  1   0   0   
except the                        0   1   0   
except the ordinary               0   1   0   
exceptional                       1   0   0   
exceptional was                   1   0   0   
exceptional was being             1   0   0   
excitedly                         0   0   1   
excitedly together                0   0   1   
excitedly together dursley        0   0   1   
excitement                        1   0   0   
excitement in                     1   0   0   
excitement in hobbiton            1   0   0   
expect                            0   0   1   
expect to                         0   0   1   
expect to be                      0   0   1   
eyes                              0   0   1   
eyes fell                         0   0   1   
eyes fell on                      0   0   1   
faces                             0   1   0   
faces and                         0   1   0   
faces and laugh                   0   1   0   
fact                              0   2   1   
fact apparently                   0   1   0   
fact apparently settled           0   1   0   
fact dursley                      0   0   1   
fact dursley pretended            0   0   1   
fact remained                     0   1   0   
fact remained that                0   1   0   
fairly                            0   1   0   
fairly but                        0   1   0   
fairly but not                    0   1   0   
fairy                             0   1   0   
fairy wife                        0   1   0   
fairy wife that                   0   1   0   
fame                              1   0   0   
fame there                        1   0   0   
fame there was                    1   0   0   
families                          1   1   0   
families but                      1   0   0   
families but he                   1   0   0   
families that                     0   1   0   
families that long                0   1   0   
family                            1   1   0   
family history                    1   0   0   
family history and                1   0   0   
family hushed                     0   1   0   
family hushed it                  0   1   0   
famous                            0   1   0   
famous belladonna                 0   1   0   
famous belladonna took            0   1   0   
far                               1   0   0   
far trouble                       1   0   0   
far trouble had                   1   0   0   
fashion                           0   0   1   
fashion he                        0   0   1   
fashion he drummed                0   0   1   
fat                               0   1   0   
fat in                            0   1   0   
fat in the                        0   1   0   
father                            2   3   0   
father and                        1   0   0   
father and son                    1   0   0   
father built                      0   1   0   
father built the                  0   1   0   
father got                        0   1   0   
father got something              0   1   0   
father was                        1   0   0   
father was a                      1   0   0   
father which                      0   1   0   
father which i                    0   1   0   
favourite                         1   0   0   
favourite was                     1   0   0   
favourite was young               1   0   0   
fear                              0   0   1   
fear was                          0   0   1   
fear was that                     0   0   1   
feet                              0   1   0   
feet grow                         0   1   0   
feet grow natural                 0   1   0   
fell                              0   0   1   
fell on                           0   0   1   
fell on a                         0   0   1   
fences                            0   0   1   
fences spying                     0   0   1   
fences spying on                  0   0   1   
few                               0   0   1   
few minutes                       0   0   1   
few minutes later                 0   0   1   
fifty                             1   1   0   
fifty at                          1   0   0   
fifty at they                     1   0   0   
fifty years                       0   1   0   
fifty years old                   0   1   0   
filled                            0   1   0   
filled with                       0   1   0   
filled with the                   0   1   0   
finally                           1   0   0   
finally dashed                    1   0   0   
finally dashed bilbo              1   0   0   
finer                             0   0   1   
finer boy                         0   0   1   
finer boy anywhere                0   0   1   
fingers                           0   1   1   
fingers faces                     0   1   0   
fingers faces and                 0   1   0   
fingers on                        0   0   1   
fingers on the                    0   0   1   
firm                              0   0   1   
firm called                       0   0   1   
firm called grunnings             0   0   1   
first                             0   1   1   
first on                          0   1   0   
first on one                      0   1   0   
first sign                        0   0   1   
first sign of                     0   0   1   
five                              0   0   1   
five different                    0   0   1   
five different people             0   0   1   
floor                             0   1   1   
floor and                         0   1   0   
floor and indeed                  0   1   0   
floor if                          0   0   1   
floor if he                       0   0   1   
floors                            0   1   0   
floors tiled                      0   1   0   
floors tiled and                  0   1   0   
flutter                           0   0   1   
flutter past                      0   0   1   
flutter past the                  0   0   1   
folk                              2   1   0   
folk like                         0   1   0   
folk like you                     0   1   0   
folk might                        1   0   0   
folk might say                    1   0   0   
folk suddenly                     1   0   0   
folk suddenly found               1   0   0   
folks                             1   0   0   
folks are                         1   0   0   
folks are so                      1   0   0   
fond                              0   1   0   
fond of                           0   1   0   
fond of visitors                  0   1   0   
fool                              1   0   0   
fool about                        1   0   0   
fool about with                   1   0   0   
foot                              0   1   0   
foot of                           0   1   0   
foot of the                       0   1   0   
for                               10  9   5   
for a                             2   1   1   
for a chance                      0   1   0   
for a hobbit                      1   0   0   
for a second                      0   0   1   
for a wife                        1   0   0   
for any                           0   1   0   
for any sort                      0   1   0   
for bilbo                         1   0   0   
for bilbo was                     1   0   0   
for fame                          1   0   0   
for fame there                    1   0   0   
for family                        1   0   0   
for family history                1   0   0   
for forty                         1   0   0   
for forty years                   1   0   0   
for hats                          0   1   0   
for hats and                      0   1   0   
for he                            1   0   0   
for he had                        1   0   0   
for her                           0   1   0   
for her and                       0   1   0   
for keeping                       0   0   1   
for keeping the                   0   0   1   
for many                          0   1   0   
for many miles                    0   1   0   
for several                       0   0   1   
for several years                 0   0   1   
for sixty                         1   0   0   
for sixty years                   1   0   0   
for something                     0   0   1   
for something yes                 0   0   1   
for that                          1   0   0   
for that autumn                   1   0   0   
for the                           0   1   0   
for the hobbit                    0   1   0   
for these                         0   1   0   
for these were                    0   1   0   
for they                          1   0   0   
for they said                     1   0   0   
for time                          0   1   0   
for time out                      0   1   0   
for work                          0   0   1   
for work and                      0   0   1   
for you                           0   1   0   
for you until                     0   1   0   
forest                            2   0   0   
forest a                          1   0   0   
forest a dark                     1   0   0   
forest but                        1   0   0   
forest but a                      1   0   0   
forgive                           1   0   0   
forgive him                       1   0   0   
forgive him his                   1   0   0   
forth                             1   0   0   
forth at                          1   0   0   
forth at the                      1   0   0   
fortune                           1   0   0   
fortune he                        1   0   0   
fortune he remained               1   0   0   
forty                             1   0   0   
forty years                       1   0   0   
forty years and                   1   0   0   
found                             1   2   2   
found either                      0   1   0   
found either under                0   1   0   
found himself                     0   1   0   
found himself doing               0   1   0   
found it                          0   0   1   
found it harder                   0   0   1   
found out                         0   0   1   
found out about                   0   0   1   
found their                       1   0   0   
found their reminiscences         1   0   0   
four                              0   0   2   
four drive                        0   0   1   
four drive it                     0   0   1   
four privet                       0   0   1   
four privet drive                 0   0   1   
friendly                          1   0   0   
friendly terms                    1   0   0   
friendly terms with               1   0   0   
friends                           1   0   0   
friends until                     1   0   0   
friends until some                1   0   0   
frodo                             9   0   0   
frodo as                          1   0   0   
frodo as his                      1   0   0   
frodo baggins                     1   0   0   
frodo baggins when                1   0   0   
frodo happened                    1   0   0   
frodo happened to                 1   0   0   
frodo is                          1   0   0   
frodo is as                       1   0   0   
frodo my                          1   0   0   
frodo my lad                      1   0   0   
frodo that                        1   0   0   
frodo that lives                  1   0   0   
frodo they                        1   0   0   
frodo they lived                  1   0   0   
frodo was                         2   0   0   
frodo was going                   1   0   0   
frodo was still                   1   0   0   
from                              1   1   1   
from his                          1   0   0   
from his travels                  1   0   0   
from the                          0   1   1   
from the bakery                   0   0   1   
from the took                     0   1   0   
fruity                            0   1   0   
fruity laughs                     0   1   0   
fruity laughs especially          0   1   0   
full                              1   0   0   
full of                           1   0   0   
full of tunnels                   1   0   0   
funny                             0   0   1   
funny clothes                     0   0   1   
funny clothes the                 0   0   1   
gaffer                            4   0   0   
gaffer declared                   1   0   0   
gaffer declared with              1   0   0   
gaffer he                         1   0   0   
gaffer he held                    1   0   0   
gaffer that                       1   0   0   
gaffer that the                   1   0   0   
gaffer was                        1   0   0   
gaffer was recognized             1   0   0   
gained                            0   1   0   
gained anything                   0   1   0   
gained anything in                0   1   0   
gamgee                            2   0   0   
gamgee both                       1   0   0   
gamgee both father                1   0   0   
gamgee commonly                   1   0   0   
gamgee commonly known             1   0   0   
gandalf                           0   2   0   
gandalf came                      0   1   0   
gandalf came by                   0   1   0   
gandalf if                        0   1   0   
gandalf if you                    0   1   0   
garden                            1   1   1   
garden and                        0   1   0   
garden and meadows                0   1   0   
garden at                         1   0   0   
garden at bag                     1   0   0   
garden fences                     0   0   1   
garden fences spying              0   0   1   
gave                              0   0   1   
gave himself                      0   0   1   
gave himself a                    0   0   1   
gazed                             0   0   1   
gazed mouthed                     0   0   1   
gazed mouthed as                  0   0   1   
generous                          1   0   0   
generous with                     1   0   0   
generous with his                 1   0   0   
gentlehobbit                      1   0   0   
gentlehobbit is                   1   0   0   
gentlehobbit is bilbo             1   0   0   
get                               0   1   1   
get it                            0   1   0   
get it now                        0   1   0   
get that                          0   0   1   
get that day                      0   0   1   
getups                            0   0   1   
getups you                        0   0   1   
getups you saw                    0   0   1   
given                             1   0   0   
given very                        1   0   0   
given very lively                 1   0   0   
go                                1   2   0   
go and                            0   1   0   
go and have                       0   1   0   
go looking                        1   0   0   
go looking for                    1   0   0   
go on                             0   1   0   
go on with                        0   1   0   
going                             2   3   0   
going fairly                      0   1   0   
going fairly but                  0   1   0   
going in                          0   1   0   
going in for                      0   1   0   
going to                          2   0   0   
going to be                       2   0   0   
going upstairs                    0   1   0   
going upstairs for                0   1   0   
good                              2   0   2   
good fortune                      1   0   0   
good fortune he                   1   0   0   
good mood                         0   0   1   
good mood until                   0   0   1   
good reason                       0   0   1   
good reason for                   0   0   1   
good thing                        1   0   0   
good thing it                     1   0   0   
gossiped                          0   0   1   
gossiped away                     0   0   1   
gossiped away happily             0   0   1   
got                               0   1   1   
got into                          0   0   1   
got into his                      0   0   1   
got something                     0   1   0   
got something a                   0   1   0   
gray                              0   0   1   
gray tuesday                      0   0   1   
gray tuesday our                  0   0   1   
greatest                          0   0   1   
greatest fear                     0   0   1   
greatest fear was                 0   0   1   
green                             0   3   0   
green and                         0   2   0   
green and the                     0   1   0   
green and yellow                  0   1   0   
green with                        0   1   0   
green with a                      0   1   0   
ground                            0   1   0   
ground there                      0   1   0   
ground there lived                0   1   0   
grow                              1   1   0   
grow natural                      0   1   0   
grow natural leathery             0   1   0   
grow up                           1   0   0   
grow up the                       1   0   0   
growing                           2   0   0   
growing of                        1   0   0   
growing of vegetables             1   0   0   
growing old                       1   0   0   
growing old and                   1   0   0   
grown                             0   1   0   
grown up                          0   1   0   
grown up being                    0   1   0   
grunnings                         0   0   2   
grunnings parking                 0   0   1   
grunnings parking lot             0   0   1   
grunnings which                   0   0   1   
grunnings which made              0   0   1   
had                               13  8   12  
had a                             1   1   4   
had a more                        1   0   0   
had a perfectly                   0   1   1   
had a secret                      0   0   1   
had a small                       0   0   2   
had an                            0   1   0   
had an adventure                  0   1   0   
had any                           0   2   0   
had any adventures                0   2   0   
had been                          1   0   0   
had been the                      1   0   0   
had better                        1   0   0   
had better come                   1   0   0   
had brought                       1   0   0   
had brought back                  1   0   0   
had everything                    0   0   1   
had everything they               0   0   1   
had given                         1   0   0   
had given very                    1   0   0   
had he                            0   0   1   
had he might                      0   0   1   
had heard                         1   1   0   
had heard only                    0   1   0   
had heard this                    1   0   0   
had helped                        1   0   0   
had helped old                    1   0   0   
had in                            0   1   0   
had in fact                       0   1   0   
had lived                         0   1   0   
had lived in                      0   1   0   
had many                          1   0   0   
had many devoted                  1   0   0   
had met                           0   0   1   
had met for                       0   0   1   
had nearly                        0   0   1   
had nearly twice                  0   0   1   
had never                         0   0   2   
had never even                    0   0   1   
had never seen                    0   0   1   
had no                            1   0   0   
had no close                      1   0   0   
had not                           1   0   0   
had not come                      1   0   0   
